"","5 years and under","6 - 11 years","12 - 24 years","25 years and above","Overall"
"n","1,100","1,173","389","1,130","3,792"
"gender = Male (%)","601 (54.6)","482 (41.1)","149 (38.3)","279 (24.7)","1511 (39.8)"
"age (median [range])","3.74 [0.67, 5.99]","8.81 [6.14, 12.02]","14.89 [12.04, 24.85]","36.52 [25.31, 72.55]","9.73 [0.67, 72.55]"
"mbfpf = TRUE (%)","172 (15.6)","286 (24.4)","67 (17.2)","42 (3.7)","567 (15.0)"
"pfpcr = TRUE (%)","647 (58.8)","819 (69.8)","226 (58.1)","382 (33.8)","2074 (54.7)"
"subpf = TRUE (%)","475 (43.2)","533 (45.4)","159 (40.9)","340 (30.1)","1507 (39.7)"
"sens_pf","0.2658423","0.3492063","0.2964602","0.1099476","0.2733848"
"spec_pf","0.9889625","0.9632768","0.9447853","0.9959893","0.9825378"
"mbfgam = TRUE (%)","87 (7.9)","115 (9.8)","30 (7.7)","41 (3.6)","273 (7.2)"
"gfpcr = TRUE (%)","303 (27.5)","480 (40.9)","145 (37.3)","202 (17.9)","1130 (29.8)"
"subgf = TRUE (%)","216 (71.3)","365 (76.0)","115 (79.3)","161 (79.7)","857 (75.8)"
"sens_gam","0.2871287","0.2395833","0.2068966","0.2029703","0.2415929"
"spec_gam","0.8243413","0.8066378","0.7786885","0.8006466","0.8072878"
